PTU,oids,Latitude,Longitude
PTU-00003,3300046559,46.12,-123.27
PTU-00003,3300035725,46.11,-122.99
PTU-00003,3300045283,46.31,-92.3
PTU-00003,3300046838,46.12,-123.27
PTU-00003,3300046680,46.12,-123.27
PTU-00003,3300046529,46.12,-123.27
PTU-00003,3300035171,46.11,-122.99
PTU-00003,3300044854,42.41,-85.4
PTU-00003,3300046811,46.12,-123.27
PTU-00003,3300046477,46.12,-123.27
PTU-00003,3300036802,-33.6,150.0
PTU-00003,3300046690,46.12,-123.27
PTU-00003,3300025928,42.48,-85.45
PTU-00003,3300046510,46.12,-123.27
PTU-00003,3300035704,35.5,-121.0
PTU-00003,3300036401,46.11,-122.99
PTU-00003,3300035724,46.11,-122.99
PTU-00003,3300037421,42.53,-72.19
PTU-00003,3300046462,46.12,-123.27
PTU-00003,3300046543,46.12,-123.27
PTU-00003,3300046816,46.12,-123.27
PTU-00003,3300046796,46.12,-123.27
PTU-00003,3300048088,46.12,-123.27
PTU-00003,3300046713,46.12,-123.27
PTU-00003,3300046739,46.12,-123.27
PTU-00003,3300046836,46.12,-123.27
PTU-00003,3300046718,46.12,-123.27
PTU-00003,3300049445,46.12,-123.27
PTU-00003,3300046533,46.12,-123.27
PTU-00003,3300050512,35.84,-83.96
PTU-00003,3300047310,46.12,-123.27
PTU-00003,3300025915,42.48,-85.45
PTU-00003,3300046837,46.12,-123.27
PTU-00003,3300036817,-34.5,150.0
PTU-00003,3300035111,46.11,-122.99
PTU-00003,3300046511,46.12,-123.27
PTU-00003,3300046531,46.12,-123.27
PTU-00003,3300035692,46.11,-122.99
PTU-00003,3300047089,46.12,-123.27
PTU-00003,3300046823,46.12,-123.27
PTU-00003,3300047311,46.12,-123.27
PTU-00003,3300046709,46.12,-123.27
PTU-00003,3300046723,44.59,-123.19
PTU-00003,3300046822,46.12,-123.27
PTU-00003,3300025910,42.39,-85.37
PTU-00003,3300020118,42.49,-85.46
PTU-00003,3300005436,42.48,-85.45
PTU-00003,3300044983,42.41,-85.4
PTU-00003,3300046707,46.12,-123.27
PTU-00003,3300050353,68.36,19.04
PTU-00003,3300046675,46.12,-123.27
PTU-00003,3300046792,46.12,-123.27
PTU-00003,3300010397,42.39,-85.37
PTU-00003,3300047322,46.12,-123.27
PTU-00003,3300043250,42.53,-72.19
PTU-00003,3300036820,37.0,-122.2
PTU-00003,3300045303,47.55,-92.3
PTU-00003,3300042852,38.92,-106.95
PTU-00003,3300046724,46.12,-123.27
PTU-00003,3300025916,42.48,-85.45
PTU-00003,3300006854,35.84,-83.96
PTU-00003,3300046516,46.12,-123.27
PTU-00003,3300036829,35.5,-121.0
PTU-00003,3300047312,46.12,-123.27
PTU-00003,3300036799,35.5,-121.0
PTU-00004,3300051670,48.9,13.56
PTU-00004,3300047662,68.36,19.05
PTU-00004,3300049729,68.36,19.04
PTU-00004,3300037840,42.53,-72.19
PTU-00004,3300021474,42.48,-72.18
PTU-00004,3300047648,68.36,19.05
PTU-00004,3300050346,68.35,19.05
PTU-00004,3300048763,68.35,19.05
PTU-00004,3300005467,42.39,-85.37
PTU-00004,3300048817,68.35,19.05
PTU-00004,3300051664,49.04,13.31
PTU-00004,3300056587,68.35,19.05
PTU-00004,3300041809,38.98,-106.97
PTU-00004,3300043100,42.3,-72.12
PTU-00004,3300044653,42.3,-72.12
PTU-00004,3300021178,42.48,-72.18
PTU-00004,3300051099,43.3,-89.33
PTU-00004,3300043777,42.3,-72.12
PTU-00004,3300045012,42.3,-72.12
