	Agricultural land	Grasslands	Other	Peat	Rhizosphere	Temperate forest	Tropical forest	Unclassified
PTU-00421	0	0	0	0	1	0	0	0
PTU-00422	0	0	1	1	0	1	0	1
PTU-00423	0	1	0	1	0	0	0	0
PTU-00424	0	0	0	1	0	0	0	0
PTU-00425	0	0	0	0	1	0	0	0
PTU-00426	0	0	0	0	1	0	0	1
PTU-00427	0	1	0	0	1	0	0	1
PTU-00428	0	1	0	1	0	0	0	0
PTU-00429	0	1	0	1	0	0	0	0
PTU-00430	0	1	1	0	0	1	0	1
PTU-00431	0	0	0	1	0	0	0	0
PTU-00432	0	1	0	0	1	0	0	1
PTU-00433	1	0	0	0	1	1	0	0
PTU-00434	0	0	0	1	0	0	0	0
PTU-00435	0	0	0	1	0	0	0	0
PTU-00436	0	0	0	0	0	1	1	0
PTU-00437	0	1	0	0	0	0	0	0
PTU-00438	0	0	0	0	1	0	0	0
PTU-00439	0	0	1	0	1	0	0	1
PTU-00440	0	0	0	0	0	1	0	0
PTU-00441	0	0	0	1	0	0	0	0
PTU-00442	1	0	0	0	1	0	0	1
PTU-00443	1	1	0	0	1	1	0	0
PTU-00444	0	1	0	0	0	0	1	0
PTU-00445	1	1	1	0	1	0	0	1
PTU-00446	1	1	0	0	1	0	0	0
PTU-00447	1	1	1	0	0	1	0	1
PTU-00448	1	1	0	0	1	1	0	1
PTU-00449	0	1	0	0	1	0	0	1
PTU-00450	0	0	0	0	1	0	0	0
PTU-00451	0	0	1	1	0	1	0	1
PTU-00452	0	0	0	1	1	0	0	1
PTU-00453	1	0	0	0	0	1	0	0
PTU-00454	0	0	1	0	0	0	0	0
PTU-00455	0	1	0	0	1	1	1	1
PTU-00456	0	0	1	1	0	0	0	0
PTU-00457	0	0	1	1	0	1	0	0
PTU-00458	1	1	0	0	1	0	0	1
PTU-00459	0	0	0	1	0	0	0	0
PTU-00460	0	0	0	0	1	0	0	0
PTU-00461	0	1	1	0	0	0	0	0
PTU-00462	0	0	0	0	1	1	0	0
PTU-00463	0	0	0	0	0	1	0	0
PTU-00464	0	0	0	0	1	0	0	0
PTU-00465	0	0	0	0	1	0	0	0
PTU-00466	0	0	1	1	0	1	0	0
PTU-00467	0	0	0	1	0	1	0	0
PTU-00468	0	0	0	0	0	1	1	0
PTU-00469	1	0	1	0	0	0	1	0
PTU-00470	0	0	0	0	1	0	0	0
PTU-00471	0	0	0	0	1	0	0	0
PTU-00472	1	0	0	0	1	0	0	1
PTU-00473	0	0	0	0	1	0	0	0
PTU-00474	0	0	0	0	1	0	0	0
PTU-00475	0	0	0	1	0	0	0	0
PTU-00476	0	0	0	0	1	0	0	0
PTU-00477	0	0	0	1	0	0	0	0
PTU-00478	0	0	0	0	1	0	0	1
PTU-00479	0	0	1	0	0	1	0	1
PTU-00480	0	0	0	0	1	0	0	1
PTU-00481	1	0	0	1	1	0	0	0
PTU-00482	0	0	1	1	0	1	0	1
PTU-00483	1	1	0	0	1	1	0	1
PTU-00484	1	0	1	0	0	0	0	0
PTU-00485	0	0	1	1	0	1	0	0
PTU-00486	0	0	0	1	0	0	0	0
PTU-00487	0	0	0	1	0	0	0	0
PTU-00488	0	0	0	0	1	0	0	0
PTU-00489	0	0	0	0	1	0	0	1
PTU-00490	0	0	1	0	1	0	0	1
PTU-00491	1	1	1	0	1	0	0	0
PTU-00492	0	0	0	1	0	0	0	0
PTU-00493	0	1	0	1	0	1	0	0
PTU-00494	0	0	0	0	1	0	0	0
PTU-00495	1	0	1	1	1	1	0	1
PTU-00496	0	0	0	1	0	0	0	0
PTU-00497	0	0	0	1	0	0	0	0
PTU-00498	0	0	1	0	1	0	0	1
PTU-00499	0	0	0	0	1	0	0	1
PTU-00500	0	0	0	0	0	0	1	0
PTU-00501	0	0	1	1	0	1	0	1
PTU-00502	0	0	0	1	0	0	0	1
